skin_color;age;sex;complement;death_type;city;neighborhood;date;hour
Preta;15.0;Masculino;Homicídio;PAF;Maceió;Tabuleiro do Martins;25/01/2016;14
Parda;27.0;Masculino;Homicídio;PAF;Maceió;Petrópolis;25/01/2016;16
Parda;31.0;Masculino;Homicídio;PAF;Penedo;Zona Rural;25/01/2016;17
Branca;40.0;Masculino;Homicídio;PAF;Maceió;Tabuleiro do Martins;25/01/2016;20
Preta;30.0;Masculino;Homicídio;BRANCA;Flexeiras;Zona Rural;26/01/2016;02
Parda;26.0;Masculino;Homicídio;ASFIXIA MECÂNICA;Maceió;Benedito Bentes;26/01/2016;03
Preta;48.0;Masculino;Roubo com Resultado Morte;PAF;Teotônio Vilela;Centro;26/01/2016;12
Parda;16.0;Feminino;Homicídio;PAF;Girau do Ponciano;Zona Rural;26/01/2016;16
Parda;23.0;Masculino;Homicídio;PAF;Maceió;Ponta Grossa;26/01/2016;18
Preta;17.0;Masculino;Homicídio;BRANCA;Boca da Mata;Zona Rural;27/01/2016;05
Parda;NA;Masculino;Homicídio;BRANCA;Marechal Deodoro;Zona Rural;27/01/2016;06
Parda;23.0;Masculino;Homicídio;PAF;Craíbas;Zona Rural;27/01/2016;18
Parda;17.0;Masculino;Homicídio;PAF;Campo Grande;Zona Rural;27/01/2016;22
Parda;24.0;Masculino;Homicídio;PAF;Rio Largo;Tabuleiro do Pinto;28/01/2016;04
Branca;30.0;Masculino;Homicídio;PAF;Igreja Nova;Centro;28/01/2016;13
Preta;16.0;Masculino;Homicídio;NI;Matriz de Camaragibe;Zona Rural;28/01/2016;16
Branca;23.0;Masculino;Homicídio;PAF;Porto Calvo;Centro;28/01/2016;16
Preta;24.0;Masculino;Homicídio;PAF;União dos Palmares;Zona Rural;28/01/2016;17
Parda;18.0;Masculino;Homicídio;PAF;Rio Largo;Centro;28/01/2016;21
Parda;36.0;Masculino;Homicídio;PAF;Maceió;Clima Bom;28/01/2016;21
Parda;32.0;Masculino;Homicídio;PAF;Penedo;Centro;29/01/2016;02
Parda;17.0;Masculino;Homicídio;BRANCA;Atalaia;Zona Rural;29/01/2016;06
Parda;25.0;Masculino;Homicídio;PAF;Barra de São Miguel;Zona Rural;29/01/2016;11
Parda;22.0;Masculino;Homicídio;PAF;Girau do Ponciano;Centro;29/01/2016;13
Parda;27.0;Masculino;Homicídio;PAF;Maceió;Jacintinho;29/01/2016;15
Parda;26.0;Masculino;Homicídio;PAF;Arapiraca;Canafístula;29/01/2016;19
Parda;18.0;Masculino;Homicídio;PAF;Arapiraca;Zona Rural Leste;29/01/2016;22
NI;26.0;Masculino;Homicídio;PAF;São Sebastião;Centro;30/01/2016;14
Parda;17.0;Masculino;Homicídio;PAF;Marechal Deodoro;Zona Rural;30/01/2016;15
Parda;20.0;Masculino;Homicídio;PAF;São Sebastião;Zona Rural;30/01/2016;18
Parda;38.0;Masculino;Homicídio;PAF;Arapiraca;Olho d Água dos Cazuzinhos;30/01/2016;22
Parda;56.0;Masculino;Homicídio;BRANCA;Arapiraca;Planalto;31/01/2016;00
Branca;22.0;Masculino;Homicídio;NI;Campestre;Centro;31/01/2016;03
Parda;24.0;Masculino;Homicídio;PAF/B;Palmeira dos Índios;São Francisco;31/01/2016;04
Preta;17.0;Masculino;Homicídio;PAF;Maceió;Benedito Bentes;31/01/2016;12
Parda;35.0;Masculino;Homicídio;PAF;Maceió;Benedito Bentes;31/01/2016;16
Parda;33.0;Masculino;Homicídio;PAF;Penedo;Centro;31/01/2016;17
Parda;45.0;Masculino;Homicídio;PAF;Limoeiro de Anadia;Zona Rural;31/01/2016;18
Parda;43.0;Masculino;Homicídio;PAF;São Luís do Quitunde;Zona Rural;31/01/2016;18
Parda;19.0;Masculino;Homicídio;PAF;Rio Largo;Tabuleiro do Pinto;31/01/2016;20
Parda;32.0;Masculino;Homicídio;BRANCA;Paulo Jacinto;Centro;01/02/2016;05
Parda;19.0;Feminino;Feminicídio;PAF;Arapiraca;Zona Rural Oeste;01/02/2016;05
Parda;29.0;Masculino;Homicídio;ASFIXIA MECÂNICA;Maceió;Cidade Universitária;01/02/2016;11
Parda;34.0;Masculino;Resistência com Resultado Morte;PAF;Maceió;Vergel do Lago;01/02/2016;17
Parda;30.0;Masculino;Homicídio;PAF;Junqueiro;Zona Rural;01/02/2016;20
Branca;28.0;Masculino;Roubo com Resultado Morte;PAF;Arapiraca;Olho d Água dos Cazuzinhos;01/02/2016;22
Parda;27.0;Masculino;Resistência com Resultado Morte;PAF;Pilar;Chã do Pilar;01/02/2016;23
Parda;16.0;Masculino;Homicídio;BRANCA;Major Isidoro;Centro;02/02/2016;02
Parda;22.0;Masculino;Homicídio;ASFIXIA MECÂNICA;Maceió;Cidade Universitária;02/02/2016;13
Parda;29.0;Masculino;Homicídio;PAF;Maceió;Tabuleiro do Martins;02/02/2016;21
Parda;44.0;Masculino;Homicídio;BRANCA;São Sebastião;Zona Rural;02/02/2016;22
Parda;17.0;Masculino;Homicídio;LINCHAMENTO;Maceió;Feitosa;03/02/2016;18
Parda;18.0;Masculino;Homicídio;PAF;Palmeira dos Índios;Vila Maria;03/02/2016;19
Parda;23.0;Masculino;Homicídio;PAF;Maceió;Benedito Bentes;04/02/2016;15
Preta;13.0;Masculino;Homicídio;PAF;Porto Calvo;Centro;04/02/2016;16
Parda;21.0;Masculino;Homicídio;PAF;Maceió;Jacintinho;04/02/2016;16
Branca;28.0;Masculino;Homicídio;PAF;Palmeira dos Índios;Zona Rural;04/02/2016;19
Parda;41.0;Masculino;Homicídio;BRANCA;Canapi;Centro;05/02/2016;02
Parda;15.0;Masculino;Homicídio;PAF;Rio Largo;Tabuleiro do Pinto;05/02/2016;05
Parda;34.0;Masculino;Homicídio;BRANCA;Viçosa;Centro;05/02/2016;05
Parda;15.0;Masculino;Homicídio;OUTROS;Arapiraca;Centro;05/02/2016;12
Parda;35.0;Feminino;Homicídio;PAF;Rio Largo;Mata do Rolo;05/02/2016;12
Parda;46.0;Masculino;Homicídio;BRANCA;Quebrangulo;Zona Rural;05/02/2016;12
Parda;49.0;Masculino;Homicídio;BRANCA;Olho d Água do Casado;Zona Rural;05/02/2016;19
Parda;18.0;Masculino;Homicídio;PAF;Atalaia;Zona Rural;05/02/2016;20
Parda;39.0;Masculino;Homicídio;PAF;Lagoa da Canoa;Zona Rural;05/02/2016;21
Parda;21.0;Masculino;Homicídio;PAF;Rio Largo;Mata do Rolo;05/02/2016;21
Parda;29.0;Feminino;Homicídio;BRANCA;Rio Largo;Centro;06/02/2016;02
Parda;31.0;Masculino;Homicídio;PAF;Maceió;Farol;06/02/2016;16
Parda;62.0;Masculino;Homicídio;PAF;Junqueiro;Zona Rural;06/02/2016;17
Preta;21.0;Masculino;Homicídio;BRANCA;Coruripe;Zona Rural;06/02/2016;20
Parda;30.0;Masculino;Homicídio;BRANCA;Feliz Deserto;Centro;06/02/2016;22
Parda;30.0;Masculino;Homicídio;PAF;São Luís do Quitunde;Centro;07/02/2016;00
Parda;25.0;Masculino;Homicídio;PAF;Maragogi;Centro;07/02/2016;03
Parda;25.0;Masculino;Homicídio;ESPANCAMENTO;Maceió;Jacintinho;07/02/2016;04
Branca;19.0;Masculino;Homicídio;PAF/B;Igaci;Zona Rural;07/02/2016;11
Preta;36.0;Masculino;Homicídio;PAF;Maceió;Mutange;07/02/2016;11
Parda;32.0;Masculino;Homicídio;PAF/B;Atalaia;Zona Rural;07/02/2016;15
Parda;37.0;Masculino;Homicídio;PAF;Palmeira dos Índios;Jardim Brasil;07/02/2016;17
